date,total_bgc_profiles,dmqc_bgc_profiles,percent_dmqc,adjusted_doxy_profiles,percent_adjusted,eligible_profiles
2023-11-11,7145,1056,15.014929617517417,2352,33.44234323901607,7033
2023-11-12,7147,1056,15.010660980810234,2352,33.43283582089552,7035
2023-11-14,7161,1056,14.980848347283303,2352,33.36643495531281,7049
2023-11-15,7162,1056,14.97872340425532,2352,33.361702127659576,7050
2023-11-16,7170,1056,14.961745536979315,2352,33.32388778690847,7058
2023-11-17,7174,1056,14.953271028037383,2352,33.30501274426508,7062
2023-11-18,7178,1056,14.944806113784319,2352,33.28615907161053,7066
2023-11-19,7185,1056,14.930015552099533,2352,33.25321645694896,7073
2023-11-20,7189,1056,14.921576939381094,2352,33.23442136498517,7077
2023-11-21,7195,1056,14.90893689114782,2352,33.20626853028378,7083
2023-11-22,7198,1056,14.902624894157494,2352,33.1922099915326,7086
2023-11-23,7201,1056,14.896318239526027,2352,33.17816335167161,7089
2023-11-24,7208,1056,14.88162344983089,2352,33.14543404735062,7096
2023-11-25,7214,1056,14.869050971557307,2352,33.11743170937764,7102
2023-11-26,7221,1056,14.854409902939935,2352,33.084822056548035,7109
2023-11-27,7225,1056,14.846056516237875,2352,33.06621678616617,7113
2023-11-28,7228,1056,14.839797639123104,2352,33.05227655986509,7116
2023-11-29,7236,1056,14.823133071308254,2352,33.01516002245929,7124
2023-11-30,7239,1056,14.816893503577942,2352,33.0012628034236,7127
2023-12-01,7245,1056,14.804430113556709,2352,32.97350343473994,7133
2023-12-02,7247,1056,14.800280308339174,2352,32.96426068675543,7135
2023-12-03,7251,1056,14.791987673343606,2352,32.94579072699258,7139
2023-12-04,7259,1056,14.775430250454736,2352,32.90891283055828,7147
2023-12-05,7265,1056,14.763036488186774,2352,32.881308541870546,7153
2023-12-06,7269,1056,14.754785524661171,2352,32.86293139583624,7157
2023-12-07,7276,1056,14.74036850921273,2352,32.83082077051926,7164
2023-12-08,7279,1056,14.734198409376308,2352,32.81707827542905,7167
2023-12-09,7285,1056,14.721873693015475,2352,32.78962777080719,7173
2023-12-10,7290,1056,14.711618835330176,2352,32.76678740596267,7178
2023-12-11,7296,1056,14.699331848552339,2352,32.73942093541203,7184
2023-12-12,7298,1056,14.695240745894795,2352,32.730308934038405,7186
2023-12-13,7299,1056,14.69319604842076,2352,32.72575483511896,7187
2023-12-14,7305,1056,14.680939802585847,2352,32.69845683303211,7193
2023-12-15,7316,1056,14.658523042754025,2352,32.648528595224874,7204
2023-12-16,7320,1056,14.6503884572697,2352,32.63041065482797,7208
2023-12-17,7325,1056,14.640232912796339,2352,32.60779148759185,7213
2023-12-18,7329,1056,14.632118608840239,2352,32.58971871968962,7217
2023-12-19,7334,1056,14.621988368872888,2352,32.56715591248962,7222
2023-12-20,7340,1056,14.609850581073603,2352,32.54012174875484,7228
2023-12-21,7346,1056,14.597732927840752,2352,32.513132430190765,7234
2023-12-22,7349,1056,14.591681636037032,2352,32.49965455299157,7237
2023-12-23,7352,1056,14.585635359116022,2352,32.48618784530387,7240
2023-12-24,7356,1056,14.577581446714522,2352,32.468249585864164,7244
2023-12-25,7361,1056,14.56752655538695,2352,32.44585460063457,7249
2023-12-26,7363,1056,14.563508481588746,2352,32.436905254447666,7251
2023-12-27,7366,1056,14.557485525227461,2352,32.423490488006614,7254
2023-12-28,7368,1056,14.553472987872105,2352,32.41455347298787,7256
2023-12-29,7371,1056,14.547458327593333,2352,32.40115718418515,7259
2023-12-30,7376,1056,14.537444933920705,2352,32.37885462555066,7264
2023-12-31,7380,1056,14.529444138690149,2352,32.36103467253715,7268
2024-01-01,7383,1056,14.523449319213313,2352,32.34768257461147,7271
2024-01-02,7386,1056,14.517459444597195,2352,32.33434149023921,7274
2024-01-03,7390,1056,14.509480626545754,2352,32.31657048639736,7278
2024-01-04,7393,1056,14.503502266172228,2352,32.3032550473836,7281
2024-01-05,7397,1056,14.4955387783116,2352,32.28551818805765,7285
2024-01-06,7428,1056,14.434117003827229,2352,32.148715144887916,7316
2024-01-07,7432,1056,14.426229508196721,2352,32.131147540983605,7320
2024-01-08,7437,1056,14.416382252559726,2352,32.10921501706485,7325
2024-01-09,7443,1056,14.404583276497068,2352,32.08293547947074,7331
2024-01-10,7449,1056,14.3928035982009,2352,32.05669892326564,7337
2024-01-11,7463,1056,14.365392463610393,2352,31.9956468507686,7351
2024-01-12,7468,1056,14.35562805872757,2352,31.973898858075042,7356
2024-01-13,7476,1056,14.340032590983162,2352,31.93916349809886,7364
2024-01-14,7478,1056,14.336139017105621,2352,31.93049144718979,7366
2024-01-15,7487,1056,14.31864406779661,2352,31.891525423728815,7375
2024-01-16,7489,1056,14.31476209841399,2352,31.882879219194795,7377
2024-01-17,7495,1056,14.303128809427061,2352,31.85696871190573,7383
2024-01-18,7498,1056,14.29731925264013,2352,31.844029244516655,7386
2024-01-19,7506,1056,14.281850148769273,2352,31.809575331349745,7394
2024-01-20,7512,1056,14.27027027027027,2352,31.783783783783782,7400
2024-01-21,7514,1056,14.266414482572278,2352,31.775195893001893,7402
2024-01-22,7517,1056,14.260634706279541,2352,31.76232275489534,7405
2024-01-23,7531,1056,14.233724221593206,2352,31.70238576627578,7419
2024-01-24,7536,1056,14.224137931034482,2352,31.68103448275862,7424
2024-01-25,7545,1056,14.206915108300821,2352,31.642674559397282,7433
2024-01-26,7578,1056,14.144120010715243,2352,31.502812751138496,7466
2024-01-27,7589,2034,27.203423833088138,1374,18.376354152735054,7477
2024-01-28,7592,2034,27.192513368983956,1374,18.36898395721925,7480
2024-01-29,7598,2034,27.17071867485974,1374,18.35426128773711,7486
2024-01-30,7573,2034,27.261761158021713,1374,18.415761962203458,7461
2024-01-31,7577,2034,27.24715338245144,1374,18.40589417280643,7465
2024-02-01,7582,2034,27.228915662650603,1374,18.393574297188756,7470
2024-02-02,7588,2034,27.207062600321027,1374,18.37881219903692,7476
2024-02-03,7591,2034,27.196149217809868,1374,18.37144003208985,7479
2024-02-04,7600,2034,27.16346153846154,1374,18.349358974358974,7488
2024-02-05,7601,2034,27.159834423821604,1374,18.346908799572706,7489
2024-02-06,7606,2034,27.141713370696557,1374,18.33466773418735,7494
2024-02-07,7611,2034,27.123616482197626,1374,18.322442992398987,7499
2024-02-08,7615,2034,27.109156337465013,1374,18.31267493002799,7503
2024-02-09,7623,2034,27.080282252696044,1374,18.293170017307947,7511
2024-02-10,7626,2034,27.069470322065477,1374,18.285866382752197,7514
2024-02-11,7631,2034,27.05146961032052,1374,18.273706609921533,7519
2024-02-12,7638,2034,27.026308796173264,1374,18.25671007175126,7526
2024-02-13,7641,2034,27.015539912338955,1374,18.24943551600478,7529
2024-02-14,7650,2034,26.983284690899442,1374,18.227646590607588,7538
2024-02-15,7651,2034,26.979705531237563,1374,18.225228810187026,7539
2024-02-16,7656,2034,26.961823966065747,1374,18.213149522799576,7544
2024-02-17,7661,2034,26.943966088223604,1374,18.201086236587628,7549
2024-02-18,7665,2034,26.92969680921488,1374,18.19144710710976,7553
2024-02-19,7673,2034,26.901203544504696,1374,18.172199444517922,7561
2024-02-20,7676,2034,26.89053410893707,1374,18.164992067689052,7564
2024-02-21,7681,2034,26.872770511296075,1374,18.1529924692826,7569
2024-02-22,7688,2034,26.84794086589229,1374,18.13621964097149,7576
2024-02-23,7691,2034,26.83731362976646,1374,18.129040770550205,7579
2024-02-24,7705,2034,26.787830896878702,1374,18.095614381667325,7593
2024-02-25,7710,2034,26.770202684917084,1374,18.08370623848381,7598
2024-02-26,7715,2034,26.75259765881889,1374,18.071813757727213,7603
2024-02-27,7720,2034,26.735015772870664,1374,18.05993690851735,7608
2024-02-28,7730,2034,26.699921239170386,1374,18.036229981622473,7618
2024-02-29,7738,2034,26.671911880409127,1374,18.017309205350116,7626
2024-03-01,7741,2034,26.661423515532835,1374,18.01022414471097,7629
2024-03-02,7743,2034,26.65443585375442,1374,18.00550386581051,7631
2024-03-03,7746,2034,26.64396122609379,1374,17.998428084883415,7634
2024-03-04,7750,2034,26.630007855459546,1374,17.98900235663786,7638
2024-03-05,7752,2034,26.623036649214658,1374,17.984293193717278,7640
2024-03-06,7757,2034,26.6056245912361,1374,17.972531066056245,7645
2024-03-07,7761,2034,26.59171133481501,1374,17.963132435612497,7649
2024-03-08,7779,2034,26.529281335594103,1374,17.920959958262685,7667
2024-03-09,7784,2034,26.51199165797706,1374,17.909280500521376,7672
2024-03-10,7793,2034,26.480926962635074,1374,17.888295794818383,7681
2024-03-11,7797,2034,26.467143786597266,1374,17.878985035783995,7685
2024-03-12,7798,2034,26.463700234192036,1374,17.87665886026542,7686
